,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01/01,272.311,257.122,271.411,250.511,248.578,253.0,255.023,253.944,232.6,259.589,255.023,255.023,255.023,282.722,226.5,255.023
01/02,270.278,244.211,270.0,250.967,255.789,252.578,254.544,264.011,245.056,255.023,264.522,256.767,252.389,255.023,255.023,254.056
01/03,256.978,224.611,268.789,253.1,254.878,255.023,255.023,264.078,242.689,306.0,255.023,255.023,255.023,302.233,212.689,255.023
01/04,252.656,225.322,267.678,245.4,233.267,258.911,231.267,269.971,244.467,273.175,260.7,255.023,244.767,255.023,236.244,260.733
01/05,260.767,233.611,249.533,262.267,234.2,255.023,255.023,279.744,250.989,280.511,255.023,270.489,248.756,303.578,255.023,255.023
01/06,248.1,242.244,259.411,261.744,241.144,259.856,255.023,255.023,255.023,279.378,258.667,255.023,255.023,255.023,240.256,256.033
01/07,264.144,255.023,245.956,257.4,267.978,255.023,244.1,259.633,252.389,267.167,255.023,240.778,269.744,267.933,255.023,267.8
01/08,262.844,242.978,242.6,260.922,256.478,279.7,255.023,263.556,255.023,243.133,293.011,255.023,255.023,255.023,215.189,255.023
01/09,256.267,237.356,247.6,247.3,256.733,270.767,272.289,253.45,275.7,255.023,292.467,237.833,259.6,255.023,255.023,250.089
01/10,252.3,238.433,252.422,247.789,246.556,286.467,255.023,255.6,255.023,259.511,255.023,255.023,255.023,249.556,219.133,255.023
01/11,256.278,234.067,260.278,245.422,255.023,294.311,269.7,251.7,234.867,255.023,274.0,259.233,259.633,255.023,238.911,268.622
01/12,256.556,229.067,247.033,257.633,263.878,255.023,260.9,248.333,232.356,279.7,255.023,263.678,255.023,259.856,255.023,255.023
01/13,275.478,235.267,248.733,255.023,272.444,291.411,281.778,255.023,255.023,282.256,261.156,255.023,239.467,255.023,233.833,252.267
01/14,255.167,226.344,243.389,252.444,288.867,255.023,279.378,244.3,224.667,268.833,255.023,268.4,237.844,306.767,255.023,243.811
01/15,258.222,237.278,236.422,251.556,289.889,292.778,255.023,236.533,255.023,279.444,250.1,255.023,255.023,255.023,214.1,255.023
01/16,254.8,232.156,237.244,255.767,261.2,255.023,300.533,228.344,240.767,255.023,255.023,285.522,233.278,300.911,255.023,242.567
01/17,250.278,260.033,247.144,255.822,256.833,244.267,255.023,229.856,254.067,284.633,255.023,255.023,255.023,303.911,223.833,255.023
01/18,229.733,248.889,251.656,256.067,244.467,255.023,270.211,237.856,249.067,255.023,271.011,278.0,235.311,255.023,255.023,270.211
01/19,229.811,235.422,247.667,254.556,268.822,255.023,255.023,237.167,239.589,265.8,255.023,281.178,255.023,313.789,242.578,255.023
01/20,255.023,236.278,241.633,245.244,261.687,246.889,271.1,246.0,242.367,253.05,256.489,255.023,257.833,255.023,236.511,282.2
01/21,260.478,230.156,246.233,237.033,268.133,255.023,289.733,237.022,239.156,273.056,255.023,273.033,255.023,275.322,255.023,255.023
01/22,270.978,228.589,242.322,233.633,261.722,216.811,255.023,255.023,255.023,265.533,269.633,255.023,255.023,255.023,245.889,264.589
01/23,269.567,221.5,240.022,242.067,263.0,255.023,262.222,249.367,258.578,267.756,255.023,270.922,239.222,263.0,255.023,281.3
01/24,279.178,227.411,244.122,231.056,259.244,250.567,255.023,255.023,255.023,263.522,266.6,255.023,255.023,266.944,258.456,255.023
01/25,258.367,225.244,248.722,228.9,257.967,235.244,261.144,262.733,235.067,255.023,269.133,260.1,245.1,255.023,255.023,266.544
01/26,272.878,238.089,255.023,229.711,243.211,240.256,255.023,264.589,248.833,266.356,255.023,255.023,255.023,259.122,264.033,255.023
01/27,273.933,236.756,258.611,228.133,255.023,241.589,238.333,239.489,252.2,255.023,267.267,274.1,254.033,255.023,255.023,265.122
01/28,266.889,227.967,244.756,240.867,237.678,255.023,230.85,243.6,244.367,274.4,255.023,278.367,255.023,262.767,255.023,255.023
01/29,265.322,250.756,247.833,242.1,255.023,265.567,244.378,255.023,255.023,255.023,262.889,255.023,240.311,255.023,258.578,269.533
01/30,267.4,248.722,252.289,252.167,231.467,255.023,231.767,262.133,226.144,262.5,255.023,261.767,247.756,276.533,255.023,271.844
01/31,259.489,253.689,240.944,245.778,255.023,261.211,255.023,249.475,255.023,260.644,259.9,255.023,255.023,255.023,271.467,255.023
02/01,256.678,260.533,250.111,248.322,249.8,259.424,261.433,247.667,236.267,259.424,259.911,252.978,255.189,264.667,259.424,284.789
02/02,262.611,265.833,257.889,240.644,248.178,262.9,259.424,247.467,233.629,258.756,259.424,259.424,259.424,253.811,262.9,259.424
02/03,258.878,291.8,268.978,230.256,254.044,254.378,233.322,253.511,252.433,259.424,268.389,254.2,231.611,259.424,259.424,246.789
02/04,251.233,249.422,291.678,236.0,254.589,259.424,259.424,261.922,259.767,257.3,259.424,259.424,259.424,289.533,251.989,259.424
02/05,252.433,252.3,267.211,235.111,259.424,245.0,253.6,262.029,264.678,256.922,281.878,259.424,234.1,259.424,253.567,262.067
02/06,247.889,238.711,253.144,245.033,259.967,259.424,259.424,268.733,258.767,273.167,259.424,261.5,239.511,281.722,259.424,259.424
02/07,256.778,241.856,241.067,240.167,254.122,242.289,259.424,259.424,259.424,267.278,301.867,259.424,259.424,259.424,250.422,274.356
02/08,258.144,259.424,250.8,246.133,267.622,259.424,263.967,269.367,248.033,271.922,259.424,248.289,245.822,289.267,259.424,276.167
02/09,250.122,251.378,255.433,253.5,245.056,248.6,259.424,264.922,259.424,282.233,279.533,259.424,259.424,259.424,245.167,259.424
02/10,241.067,242.3,282.144,262.956,252.222,237.822,266.9,281.0,234.6,259.424,282.378,274.933,243.333,259.424,259.424,281.756
02/11,260.4,242.922,289.2,267.856,248.967,273.556,259.424,259.456,259.424,272.844,259.424,259.424,259.424,297.633,237.267,259.424
02/12,264.567,247.878,284.322,274.522,259.424,257.489,272.0,268.978,259.424,259.424,301.744,267.944,247.733,259.424,252.078,265.522
02/13,266.122,242.478,271.556,284.544,247.356,259.424,262.15,264.433,232.589,291.367,259.424,252.989,259.424,237.811,259.424,259.424
02/14,260.7,242.033,271.767,259.424,243.6,290.022,273.144,259.424,259.424,294.767,286.822,259.424,253.022,259.424,233.156,257.067
02/15,258.911,240.644,263.622,249.833,238.533,259.424,272.5,259.033,252.778,274.85,259.424,288.611,259.144,243.133,259.424,261.289
02/16,266.4,237.5,263.178,245.267,239.767,282.789,259.424,246.188,259.424,276.8,287.5,259.424,259.424,259.424,234.533,259.424
02/17,270.089,230.656,265.556,256.722,259.424,259.424,271.767,261.333,265.833,259.424,259.424,262.822,279.867,251.011,259.424,268.511
02/18,266.489,228.867,267.056,253.5,235.511,281.1,259.424,255.444,247.886,259.678,259.424,259.424,259.424,264.844,236.7,259.424
02/19,259.733,222.389,262.511,247.478,233.4,259.424,243.211,254.178,253.789,259.424,290.767,267.0,267.667,259.424,259.424,250.7
02/20,260.389,229.833,254.044,258.7,249.3,259.424,259.424,250.2,251.956,272.267,259.424,269.267,259.424,265.389,246.233,259.424
02/21,259.424,234.689,258.644,252.133,259.424,258.756,245.867,252.267,259.7,283.725,281.867,259.424,248.767,259.424,230.856,254.867
02/22,281.922,232.233,251.822,251.789,275.1,259.424,253.811,251.311,260.056,271.9,259.424,268.456,259.424,256.811,259.424,259.424
02/23,279.622,236.967,254.778,242.267,265.978,251.4,259.424,259.424,259.424,268.633,280.733,259.424,259.424,259.424,226.444,269.7
02/24,287.167,227.156,273.133,246.657,271.811,259.424,248.844,281.167,258.733,269.044,259.424,253.822,253.344,258.267,259.424,271.2
02/25,275.567,245.056,258.767,260.267,271.567,266.267,259.424,259.424,259.424,270.911,281.067,259.424,259.424,259.711,239.978,259.424
02/26,270.522,254.6,265.9,270.078,272.156,273.378,260.978,272.533,258.033,259.424,297.322,255.267,247.2,259.424,259.424,270.089
02/27,283.544,257.133,259.424,281.867,264.033,262.678,259.424,260.033,262.2,270.378,259.424,259.424,259.424,256.456,238.9,259.424
02/28,277.722,259.424,270.922,264.522,259.424,263.811,248.7,248.378,259.424,259.424,294.467,276.478,246.067,259.424,259.424,265.633
03/01,265.322,273.379,271.722,265.667,272.944,273.379,238.65,256.344,277.333,281.533,273.379,270.244,273.379,257.167,273.379,259.424
03/02,255.2,273.379,270.822,260.733,273.379,283.089,259.611,273.379,273.379,273.379,264.356,273.379,243.722,273.379,245.2,268.733
03/03,281.133,246.589,272.122,270.733,265.4,273.379,258.867,261.833,268.556,277.9,273.379,277.067,246.156,259.133,273.379,273.933
03/04,274.1,250.167,277.733,277.989,273.379,262.833,273.379,257.822,273.379,288.8,271.633,273.379,273.379,273.379,236.567,273.379
03/05,264.689,245.811,277.944,273.233,272.2,273.379,277.022,281.533,251.467,280.256,269.8,259.144,250.522,246.967,273.379,282.3
03/06,275.589,256.522,269.756,276.411,274.811,262.567,286.429,291.456,250.786,271.678,273.379,273.379,273.379,248.722,237.933,273.379
03/07,265.0,250.378,288.244,265.433,261.156,260.622,276.211,296.256,252.489,273.379,271.344,265.567,249.156,273.379,273.379,267.522
03/08,278.8,247.811,291.489,287.678,257.644,260.05,273.379,292.811,249.822,275.9,273.379,273.379,273.379,282.244,233.833,273.379
03/09,285.389,261.067,288.456,277.733,273.379,267.0,287.7,282.2,253.078,260.111,288.933,273.379,250.9,273.379,237.278,258.467
03/10,295.767,253.7,288.911,286.122,251.3,252.133,273.379,280.522,261.078,276.289,273.379,294.178,263.811,275.9,273.379,273.379
03/11,279.378,252.044,303.989,270.5,249.422,282.611,298.35,273.379,267.844,268.656,309.1,273.379,273.379,273.379,239.356,259.211
03/12,282.067,242.733,301.522,276.922,261.478,273.379,282.433,295.167,271.889,271.256,273.379,324.011,273.379,262.267,273.379,257.989
03/13,281.811,262.667,295.967,272.7,262.989,293.4,261.3,294.167,273.379,280.733,294.667,273.379,273.379,273.379,256.544,273.379
03/14,274.167,246.078,289.067,280.422,262.611,278.422,264.444,287.3,279.7,276.767,283.611,270.2,273.379,273.379,273.379,260.144
03/15,281.811,260.311,280.933,273.656,264.467,309.989,273.379,278.567,273.379,276.433,273.379,273.379,273.379,251.578,256.733,273.379
03/16,287.122,257.189,290.056,259.356,273.833,292.378,286.9,272.622,266.7,273.379,278.533,263.289,273.379,273.379,256.967,270.0
03/17,303.611,260.522,279.267,259.678,267.844,273.379,277.822,281.244,261.9,289.333,273.379,269.033,273.379,256.1,273.379,273.379
03/18,290.7,259.322,291.589,273.379,268.95,289.944,268.789,273.379,256.756,276.622,284.611,273.379,286.344,273.379,260.533,274.533
03/19,317.722,254.744,296.056,261.8,276.4,288.733,267.467,280.667,253.511,270.7,273.379,279.033,276.711,261.3,273.379,276.2
03/20,277.967,275.578,292.978,272.211,277.4,291.211,273.379,282.622,273.379,267.989,269.667,284.2,280.367,273.379,255.856,272.4
03/21,274.389,265.822,284.311,259.067,268.7,273.379,263.544,309.233,271.933,261.467,273.379,289.933,281.689,271.544,273.379,271.144
03/22,303.889,275.867,272.422,270.267,276.967,289.933,257.7,302.122,258.087,258.589,282.4,273.379,278.0,267.411,275.2,253.011
03/23,288.611,273.289,287.078,255.311,275.043,273.379,263.756,295.233,266.711,273.379,289.411,284.333,268.478,271.333,271.389,249.167
03/24,275.689,271.922,286.222,267.322,274.278,282.833,273.379,300.367,269.911,269.333,277.844,284.256,273.379,269.922,260.489,273.379
03/25,273.379,319.978,276.533,267.267,273.379,285.589,257.767,290.733,272.1,258.344,262.133,295.167,274.567,285.567,257.844,258.167
03/26,287.711,293.267,292.178,262.167,280.8,272.067,258.811,289.256,267.789,262.811,273.379,290.078,273.379,277.844,263.433,250.567
03/27,289.956,288.367,280.056,259.956,279.978,285.478,274.333,273.379,269.871,278.7,318.1,277.444,283.3,273.379,256.8,266.156
03/28,277.533,279.744,289.489,252.6,304.644,273.379,275.756,274.0,264.667,279.811,301.178,281.489,274.222,277.033,290.467,265.478
03/29,267.8,293.278,280.056,257.356,296.833,309.567,269.933,273.379,273.379,273.0,287.6,273.379,263.533,284.944,266.633,258.189
03/30,281.856,284.733,286.033,250.556,281.011,307.178,261.133,295.15,257.067,266.467,278.733,256.9,267.6,299.8,273.379,268.7
03/31,281.311,273.789,273.379,257.633,276.444,302.711,273.379,293.444,258.067,268.422,280.311,250.422,273.379,281.978,276.7,327.7
04/01,282.389,275.267,308.944,248.522,259.65,268.467,309.767,309.467,256.8,280.308,288.067,252.811,280.667,263.389,280.308,268.356
04/02,289.9,265.278,286.356,252.3,279.0,280.308,288.567,308.6,262.3,269.1,293.0,262.222,286.522,279.233,277.95,280.308
04/03,293.289,281.833,295.078,248.3,265.229,290.167,284.844,280.308,256.156,280.308,287.056,271.811,286.378,280.308,290.644,263.8
04/04,274.267,269.4,302.789,260.52,263.667,285.233,271.867,298.467,265.356,266.867,280.308,271.289,273.244,277.367,260.033,272.089
04/05,290.256,274.4,297.478,263.711,280.308,279.789,280.308,271.45,280.308,271.067,296.033,268.667,280.522,282.156,255.511,273.333
04/06,282.856,270.467,294.9,258.0,256.4,280.308,274.622,278.778,269.733,287.133,288.4,261.111,272.167,293.333,280.308,273.056
04/07,284.922,278.833,312.367,270.378,271.689,281.933,270.433,273.344,261.733,294.467,273.0,280.308,285.033,291.733,269.133,259.167
04/08,280.308,268.756,313.5,254.689,275.9,291.067,265.322,274.533,272.489,280.308,281.778,255.967,273.644,288.4,280.625,265.056
04/09,283.789,260.733,308.233,265.1,268.644,277.733,280.308,277.0,263.556,283.033,283.422,280.308,280.308,294.544,270.167,280.308
04/10,277.022,271.456,287.5,258.444,280.308,286.644,245.0,282.557,261.189,280.767,283.989,279.067,272.2,324.167,259.278,268.733
04/11,293.844,257.189,291.478,268.933,267.4,281.4,280.308,281.022,271.122,275.867,280.308,264.211,277.656,300.867,262.889,256.278
04/12,290.111,266.711,295.833,265.611,281.589,279.267,265.0,280.308,269.129,272.622,283.8,265.767,280.2,280.308,270.478,276.733
04/13,287.2,263.522,292.856,255.333,302.656,280.308,265.756,286.4,266.256,280.956,301.122,261.978,280.3,288.9,307.5,271.767
04/14,291.722,271.922,275.722,262.478,278.489,294.933,274.867,303.578,280.308,293.833,295.7,280.308,271.456,280.308,278.056,279.711
04/15,292.556,263.022,288.189,258.289,288.689,304.6,271.0,298.05,262.933,305.6,284.789,282.0,268.078,295.067,280.308,282.289
04/16,293.056,263.322,278.944,276.178,296.989,302.578,280.308,300.189,280.308,300.633,278.833,270.122,280.308,286.4,257.733,317.133
04/17,279.578,269.222,284.889,261.633,282.7,313.067,277.967,289.367,258.45,280.308,283.256,293.922,297.267,265.811,254.922,262.989
04/18,271.378,270.156,273.067,275.056,273.433,280.308,267.456,296.567,272.344,272.1,307.3,292.444,309.433,285.2,275.2,280.308
04/19,264.278,281.822,262.467,280.308,271.443,297.411,280.8,280.308,278.778,265.411,290.656,288.556,297.144,280.308,283.622,273.2
04/20,268.178,273.744,275.233,276.55,290.667,303.833,274.533,301.333,271.856,272.433,280.308,286.722,297.744,281.2,273.0,287.333
04/21,268.344,271.778,284.411,275.189,305.511,292.789,280.308,299.125,280.308,273.667,284.733,296.567,296.056,271.956,276.933,281.433
04/22,272.356,269.022,288.344,268.056,294.967,280.308,288.178,298.789,269.267,268.789,280.308,303.222,294.122,258.9,280.308,286.989
04/23,266.756,254.433,273.433,275.389,284.222,301.1,275.8,301.8,253.7,281.633,275.933,280.308,296.167,268.011,264.267,267.944
04/24,273.1,272.444,295.178,261.878,296.6,280.308,266.578,305.367,268.511,280.308,283.7,292.767,278.022,276.011,270.978,293.567
04/25,291.333,260.967,299.133,268.133,267.767,312.867,280.308,315.078,264.622,296.2,279.022,298.911,280.308,289.278,278.989,280.308
04/26,280.308,268.633,282.756,267.2,280.308,290.167,272.533,303.3,266.711,290.789,282.089,292.233,288.7,323.233,276.278,295.1
04/27,271.344,261.211,278.244,277.044,287.0,283.933,270.578,289.967,260.767,303.267,280.308,294.422,280.308,285.144,271.844,281.867
04/28,271.556,281.733,289.844,267.022,260.633,314.6,280.308,280.308,265.229,292.222,311.8,290.533,294.233,280.308,276.389,271.8
04/29,281.689,273.878,302.356,295.233,270.3,280.308,270.778,276.833,267.3,290.278,306.25,282.3,290.578,278.433,285.133,280.8
04/30,284.756,298.4,292.667,310.822,273.867,294.533,271.3,280.308,280.308,290.611,293.767,280.308,267.767,296.122,282.7,313.567
05/01,288.833,295.667,291.144,278.078,287.812,279.6,269.511,289.367,284.2,295.533,313.044,283.2,281.267,291.267,287.812,302.522
05/02,299.144,288.333,287.812,282.744,278.233,289.0,287.812,284.056,280.744,302.133,312.956,277.189,287.812,276.656,287.433,360.8
05/03,298.9,298.878,310.033,271.522,287.711,281.744,277.2,270.256,279.467,287.812,295.222,272.878,294.833,269.644,287.812,296.944
05/04,310.889,274.289,297.9,271.467,283.533,287.812,265.575,282.111,281.411,292.467,264.757,262.9,312.033,272.433,284.7,287.812
05/05,284.289,274.533,300.611,268.867,279.371,286.067,269.578,287.812,281.6,287.812,295.444,273.178,309.622,287.812,283.433,293.067
05/06,291.444,280.522,317.089,287.812,277.167,285.933,275.211,289.3,287.5,280.2,287.812,279.756,291.244,294.633,271.011,298.689
05/07,305.433,273.222,297.767,274.356,287.812,290.189,287.812,292.178,287.812,282.889,292.933,287.7,283.411,285.433,278.933,296.033
05/08,304.989,266.767,293.5,273.489,280.533,287.812,277.378,283.556,283.867,278.089,269.444,283.2,291.333,297.956,287.812,302.078
05/09,295.011,267.389,299.133,278.078,289.1,291.0,274.6,279.811,265.433,278.056,282.9,287.812,285.4,321.311,288.267,272.789
05/10,279.378,267.644,300.411,265.733,270.6,291.811,281.767,298.522,256.233,287.812,293.389,273.233,281.478,315.267,259.667,308.733
05/11,302.144,268.633,299.967,273.967,277.444,283.167,287.812,294.411,264.356,295.6,283.067,287.812,287.812,307.244,267.578,287.812
05/12,306.367,295.444,299.311,272.767,287.812,285.367,281.5,300.967,283.911,282.711,291.422,282.467,283.033,322.567,262.911,272.8
05/13,295.344,285.833,306.8,252.2,281.5,308.0,287.812,301.122,274.567,288.378,287.812,293.344,294.067,286.989,282.644,285.667
05/14,289.7,295.356,302.056,266.2,283.333,304.633,287.812,287.812,276.767,294.744,290.867,281.933,285.0,287.812,278.067,284.5
05/15,315.944,287.511,306.989,266.456,282.589,287.812,278.778,284.1,279.411,305.522,300.525,288.5,281.356,273.533,302.567,276.311
05/16,334.8,292.533,279.211,272.067,275.322,303.2,277.067,287.744,287.812,323.011,316.622,287.812,284.567,287.812,285.533,280.856
05/17,305.489,317.689,288.544,275.343,287.812,294.611,270.411,295.7,267.767,317.014,295.756,302.5,270.033,279.633,287.812,301.233
05/18,325.156,319.733,290.456,281.122,280.667,296.256,287.812,299.844,287.812,311.833,287.812,294.433,287.812,292.011,274.367,317.6
05/19,287.122,318.6,303.078,278.833,287.812,296.389,278.7,290.011,296.0,287.812,299.233,277.611,287.1,277.489,272.967,285.889
05/20,288.444,306.433,296.478,284.6,295.2,287.812,275.922,281.9,285.978,288.267,270.086,289.2,281.2,295.033,285.667,287.812
05/21,284.722,308.267,283.344,287.812,279.225,306.167,279.189,287.812,274.289,292.244,291.056,298.056,276.233,287.812,289.056,289.733
05/22,289.111,280.3,297.744,311.7,287.167,297.933,282.211,297.3,277.467,276.4,287.812,286.233,275.822,301.667,285.522,279.989
05/23,293.5,288.756,297.033,300.733,290.433,294.033,287.812,285.811,287.812,285.289,296.3,283.733,287.911,288.322,279.6,284.133
05/24,290.478,291.622,296.967,275.233,296.333,287.812,286.267,291.878,281.367,276.433,287.812,276.233,307.933,287.956,287.812,294.3
05/25,302.189,281.344,294.011,275.311,291.911,284.167,280.233,290.711,270.667,274.344,313.1,287.812,291.767,282.011,273.267,279.422
05/26,284.533,292.0,300.633,261.589,289.033,287.812,292.211,264.633,288.356,287.812,305.4,266.133,284.967,288.833,259.267,293.333
05/27,287.678,277.822,303.778,273.033,285.967,278.0,287.812,280.922,283.644,296.467,297.644,274.856,287.812,279.511,264.0,287.812
05/28,287.812,295.322,306.289,271.2,287.812,288.411,280.933,277.4,285.7,284.525,306.333,279.333,275.067,295.167,256.267,308.133
05/29,298.444,285.067,287.278,275.344,280.2,289.467,282.611,284.544,289.867,279.656,287.812,290.256,287.812,279.433,267.722,309.844
05/30,301.633,293.756,299.578,273.5,289.844,308.822,287.812,287.812,293.767,291.289,316.033,287.812,267.1,287.812,261.111,310.989
05/31,278.122,292.944,309.278,278.1,282.311,287.812,281.978,291.133,293.889,291.522,304.033,287.812,285.989,277.1,287.017,327.544
06/01,286.0,287.989,274.056,286.678,291.311,301.5,283.44,287.812,283.44,287.744,299.189,287.812,261.567,277.111,271.467,300.678
06/02,263.522,293.478,283.633,284.486,283.44,274.256,295.133,295.6,281.467,283.714,305.789,283.44,280.811,291.667,283.44,290.822
06/03,283.056,286.989,283.44,280.622,294.111,327.467,283.44,301.878,286.044,287.467,308.478,283.44,283.44,289.289,264.933,324.867
06/04,273.656,296.344,284.967,270.9,271.689,310.189,288.933,284.144,282.0,283.44,293.778,283.44,289.967,281.411,283.44,281.533
06/05,280.2,275.922,303.022,274.567,276.6,283.44,272.3,300.6,279.633,275.567,292.014,283.44,279.356,291.533,281.567,283.44
06/06,282.056,287.533,289.844,275.722,269.525,315.122,282.633,283.44,271.222,283.44,278.811,283.44,271.789,283.44,277.411,271.733
06/07,275.933,283.922,286.044,278.6,265.433,304.7,283.467,295.5,284.578,264.75,283.44,283.44,278.211,289.933,272.711,276.078
06/08,279.1,281.167,277.633,271.778,283.44,289.711,283.44,281.889,283.44,270.5,279.8,283.44,279.156,275.878,275.067,271.233
06/09,275.733,284.867,286.578,270.311,261.2,283.44,274.511,283.122,308.967,260.567,276.6,283.44,285.7,278.1,283.44,283.5
06/10,271.767,283.411,279.656,278.556,272.678,269.1,271.543,290.222,309.338,265.289,282.667,283.44,310.467,279.267,273.533,259.622
06/11,268.056,287.289,287.767,272.267,268.933,278.056,276.867,279.4,306.367,283.44,285.389,283.44,277.522,274.667,282.2,278.867
06/12,281.144,281.111,284.922,285.6,276.533,281.6,283.44,287.689,276.1,279.9,274.244,283.44,283.44,284.867,301.6,283.44
06/13,267.956,287.567,286.478,276.656,283.44,290.067,275.667,282.133,277.978,275.989,279.433,283.44,269.033,310.4,286.522,280.567
06/14,264.478,280.033,292.789,270.533,277.433,285.767,283.44,277.111,291.911,263.767,283.44,283.44,277.189,282.222,284.011,275.589
06/15,274.456,292.4,279.367,285.911,266.756,294.267,283.44,283.44,284.033,275.033,284.833,280.0,273.733,283.44,289.722,275.322
06/16,276.756,283.44,290.989,276.611,272.656,283.44,273.944,285.567,291.567,266.522,279.556,269.367,281.111,273.5,301.2,278.344
06/17,286.189,283.867,275.133,288.867,268.489,295.533,259.533,282.744,283.44,279.178,272.433,283.44,287.7,283.44,291.978,275.9
06/18,278.322,288.478,273.678,289.933,283.44,280.978,268.044,286.667,278.267,271.533,282.3,279.267,286.4,291.767,283.44,280.878
06/19,282.467,289.0,271.211,272.2,269.889,289.9,283.44,308.633,283.44,279.5,282.222,290.389,283.44,294.911,274.7,325.333
06/20,281.622,290.833,270.6,280.178,268.611,292.344,280.5,300.667,284.467,283.44,292.7,288.967,279.167,282.167,279.689,278.122
06/21,287.922,282.322,286.7,271.8,291.956,283.44,271.233,297.933,275.411,274.2,303.967,277.022,277.744,272.6,272.867,283.44
06/22,280.267,296.478,285.089,283.44,295.043,289.578,290.722,283.44,273.944,273.056,289.044,281.3,263.122,283.44,274.044,280.133
06/23,279.211,288.711,293.211,286.833,294.233,287.5,273.389,284.667,286.533,276.0,283.44,286.456,283.489,282.667,264.267,297.689
06/24,296.044,286.5,281.367,281.367,272.189,295.633,283.44,286.825,283.44,283.656,291.7,309.367,285.7,290.278,282.567,295.9
06/25,294.133,289.2,292.578,281.578,277.867,283.44,292.433,280.567,285.367,277.111,283.44,300.022,289.022,294.544,283.44,291.233
06/26,290.522,287.044,279.7,282.233,289.322,294.267,277.457,285.089,287.433,276.656,293.667,283.44,297.033,286.433,276.867,291.767
06/27,272.144,299.656,283.533,276.089,285.667,283.44,275.944,295.467,295.133,283.44,298.322,273.733,291.267,287.378,270.356,277.833
06/28,277.756,292.511,286.078,286.6,296.933,270.833,283.44,300.156,296.6,289.033,290.956,286.922,283.44,296.789,288.878,283.44
06/29,283.44,301.122,288.9,280.589,283.44,292.367,272.833,289.967,294.556,286.378,295.611,279.667,282.7,318.433,294.211,274.0
06/30,257.022,281.867,285.833,272.956,283.7,272.4,265.0,292.311,285.278,275.7,283.44,289.056,283.44,293.567,291.089,268.256
07/01,269.567,284.411,273.333,287.4,280.0,266.333,287.236,283.44,286.967,285.478,284.9,284.689,274.1,287.236,303.356,279.5
